time_s,run_id,update,avg_rew,vf_q10,vf_q50,vf_q90,upright_mean,height_mean,done_rate,fallen_rate,timeout_rate,tau_mean,ar_mean,pg_loss,v_loss,entropy,approx_kl,clipfrac,explained_var,ep_timeout_rate,ep_dist_mean,ep_ret_mean,score,best_score,sps
22.565,0,10,1.309553,-0.000285,0.002088,0.004825,0.999763,0.234197,0.050781,0.050781,0.0,50.20179,4.63779,0.003765,0.29539,11.579621,0.013976,0.189607,0.986621,0.0,0.00042,24.827435,0.0,0.0,11617.409
44.533,0,20,1.30471,-0.00078,0.001543,0.00423,0.999835,0.235494,0.050781,0.050781,0.0,51.668083,4.86573,2e-05,0.274619,11.866183,0.006277,0.07362,0.987601,0.0,0.000314,24.764755,0.0,0.0,11932.918
66.656,0,30,1.297983,-0.001104,0.001328,0.00395,0.999873,0.233179,0.054688,0.054688,0.0,52.490063,5.091675,0.000847,0.269147,12.128352,0.009139,0.125481,0.988178,0.0,0.000269,24.721626,0.0,0.0,11849.095
89.04,0,40,1.297432,-0.002814,0.000145,0.002628,0.999886,0.232526,0.050781,0.050781,0.0,53.295563,5.216924,-0.000183,0.250672,12.318356,0.007312,0.098813,0.9886,0.0,-4e-06,24.661863,-0.0,0.0,11711.267
111.325,0,50,1.300675,-0.003321,-0.000122,0.002439,0.999886,0.234562,0.050781,0.050781,0.0,53.89772,5.168826,-0.00012,0.162927,12.442466,0.007651,0.099778,0.992397,0.0,-5.1e-05,24.653164,-0.0,0.0,11763.441
133.795,0,60,1.296541,-0.003064,0.000123,0.002697,0.999878,0.232031,0.054688,0.054688,0.0,53.785423,5.148568,0.000108,0.094513,12.415415,0.008111,0.104662,0.99601,0.0,-1.4e-05,24.671604,-0.0,0.0,11666.606
156.032,0,70,1.305439,-0.001993,0.000915,0.003611,0.999889,0.234244,0.050781,0.050781,0.0,53.601418,4.815778,-7.1e-05,0.056135,12.083698,0.007178,0.096931,0.997404,0.0,0.000169,24.748396,0.0,0.0,11788.239
177.9,0,80,1.308417,-0.000671,0.001877,0.004902,0.999893,0.235568,0.050781,0.050781,0.0,53.127846,4.510556,-2.9e-05,0.042929,11.687285,0.007379,0.094072,0.998118,0.0,0.000376,24.833847,0.0,0.0,11987.803
199.688,0,90,1.310163,0.000522,0.003183,0.00651,0.99991,0.233217,0.054688,0.054688,0.0,52.166084,4.123602,0.000792,0.035623,11.209821,0.009403,0.136658,0.998523,0.0,0.000631,24.950096,0.0,0.0,12031.482
221.863,0,100,1.317804,0.001135,0.004007,0.007205,0.999903,0.232537,0.050781,0.050781,0.0,50.782413,3.728149,0.001314,0.034369,10.733187,0.010155,0.143078,0.998521,0.0,0.000769,25.048191,0.0,0.0,11821.413
243.711,0,110,1.322637,0.001562,0.004812,0.008009,0.999898,0.235032,0.054688,0.054688,0.0,50.142086,3.387573,-2.5e-05,0.033469,10.349573,0.007082,0.094285,0.998609,0.0,0.00092,25.133827,0.0,0.0,11998.871
265.531,0,120,1.323056,0.001787,0.005187,0.008357,0.999855,0.232882,0.054688,0.054688,0.0,49.1101,3.143448,0.00111,0.029368,9.969019,0.010724,0.154202,0.998941,0.0,0.000984,25.200737,0.0,0.0,12013.634
287.329,0,130,1.330606,0.002231,0.0061,0.009073,0.999843,0.233014,0.050781,0.050781,0.0,48.124428,2.861916,0.001552,0.025719,9.625945,0.01063,0.15344,0.99886,0.0,0.001111,25.265064,0.0,0.0,12026.531
310.169,0,140,1.336361,0.002421,0.00671,0.009638,0.999798,0.234888,0.050781,0.050781,0.0,47.371506,2.567649,0.002006,0.026269,9.277833,0.009081,0.129189,0.998567,0.0,0.001211,25.332516,0.0,0.0,11477.261
332.353,0,150,1.333724,0.00238,0.007626,0.010697,0.999786,0.234522,0.054688,0.054688,0.0,47.45462,2.506893,0.002683,0.023823,9.015523,0.012635,0.180982,0.99912,0.0,0.001361,25.365459,0.0,0.0,11816.675
354.758,0,160,1.336521,0.00217,0.007476,0.010525,0.999764,0.233879,0.050781,0.050781,0.0,47.816887,2.520808,0.002855,0.026462,8.946723,0.013156,0.189025,0.999003,0.0,0.001303,25.346355,0.0,0.0,11700.499
377.126,0,170,1.337635,0.002226,0.007523,0.010747,0.999762,0.235386,0.050781,0.050781,0.0,47.744457,2.385164,0.002515,0.025178,8.690663,0.01265,0.187112,0.99904,0.0,0.00134,25.375643,0.0,0.0,11719.178
399.648,0,180,1.334085,0.002336,0.007825,0.01122,0.999769,0.233631,0.054688,0.054688,0.0,47.740219,2.333899,0.003147,0.021341,8.451457,0.012471,0.18117,0.999071,0.0,0.001389,25.397938,0.0,0.0,11639.844
422.862,0,190,1.336773,0.002518,0.00877,0.011915,0.999779,0.232039,0.054688,0.054688,0.0,47.293869,2.216385,0.000725,0.023943,8.223884,0.008348,0.112803,0.999075,0.0,0.001505,25.433378,0.0,0.0,11292.273
